week_key,case,monday_low,monday_high,monday_close,monday_range,week_range,tuesday_close,tuesday_return_pips,tuesday_direction,week_low_price,week_high_price,confirms_bullish,confirms_bearish
2015-W23,LOTW_Monday,1.08872,1.09881,1.09261,100.90000000000154,492.50000000000017,1.115,223.8999999999991,UP,1.08872,1.13797,True,
2015-W24,LOTW_Monday,1.10841,1.13067,1.12904,222.60000000000167,302.20000000000135,1.12819,-8.500000000000174,DOWN,1.10841,1.13863,False,
2015-W25,LOTW_Monday,1.11891,1.12945,1.12825,105.39999999999993,247.1000000000001,1.1247,-35.49999999999942,DOWN,1.11891,1.14362,False,
2015-W26,HOTW_Monday,1.13117,1.14101,1.13395,98.40000000000072,279.9000000000018,1.11664,-173.09999999999937,DOWN,1.11302,1.14101,,True
2015-W27,LOTW_Monday,1.0953,1.12785,1.12343,325.5000000000008,325.5000000000008,1.11454,-88.89999999999843,DOWN,1.0953,1.12785,False,
2015-W29,HOTW_Monday,1.09956,1.11971,1.10004,201.4999999999989,370.39999999999964,1.10075,7.099999999999884,UP,1.08267,1.11971,,False
2015-W30,LOTW_Monday,1.08082,1.087,1.08239,61.80000000000074,209.50000000000023,1.09327,108.80000000000001,UP,1.08082,1.10177,True,
2015-W31,HOTW_Monday,1.09689,1.11294,1.10869,160.5000000000012,236.19999999999973,1.1059,-27.89999999999848,DOWN,1.08932,1.11294,,True
2015-W32,HOTW_Monday,1.09411,1.09958,1.09485,54.700000000000855,147.80000000000015,1.08801,-68.4000000000018,DOWN,1.0848,1.09958,,True
2015-W33,LOTW_Monday,1.09251,1.10413,1.10178,116.19999999999963,288.69999999999953,1.10404,22.599999999999287,UP,1.09251,1.12138,True,
2015-W35,HOTW_Monday,1.13692,1.1714,1.16174,344.80000000000064,558.0000000000007,1.1514,-103.40000000000016,DOWN,1.1156,1.1714,,True
2015-W37,LOTW_Monday,1.11213,1.11776,1.11688,56.30000000000024,228.29999999999905,1.12009,32.099999999999355,UP,1.11213,1.13496,True,
2015-W39,HOTW_Monday,1.11811,1.13299,1.11891,148.80000000000004,224.89999999999898,1.11189,-70.20000000000026,DOWN,1.1105,1.13299,,True
2015-W45,HOTW_Monday,1.10004,1.10525,1.10147,52.100000000001586,346.20000000000095,1.09622,-52.49999999999977,DOWN,1.07063,1.10525,,True
2015-W50,LOTW_Monday,1.0796,1.08876,1.08369,91.60000000000056,246.5000000000006,1.08917,54.799999999999294,UP,1.0796,1.10425,True,
2015-W52,LOTW_Monday,1.0847,1.09389,1.09145,91.90000000000032,137.1000000000011,1.09555,40.99999999999993,UP,1.0847,1.09841,True,
2015-W53,HOTW_Monday,1.09547,1.09924,1.09652,37.700000000000514,139.7000000000004,1.09193,-45.89999999999872,DOWN,1.08527,1.09924,,True
2016-W01,HOTW_Monday,1.07811,1.09464,1.08296,165.30000000000155,235.80000000000157,1.07472,-82.40000000000025,DOWN,1.07106,1.09464,,True
2016-W04,LOTW_Monday,1.07882,1.08568,1.08484,68.60000000000088,179.3,1.08702,21.800000000000708,UP,1.07882,1.09675,True,
2016-W05,LOTW_Monday,1.08149,1.09127,1.08878,97.799999999999,429.99999999999926,1.09182,30.399999999999316,UP,1.08149,1.12449,True,
2016-W06,LOTW_Monday,1.10864,1.12158,1.1192,129.39999999999952,290.0999999999998,1.12909,98.89999999999955,UP,1.10864,1.13765,True,
2016-W07,HOTW_Monday,1.11278,1.12497,1.11523,121.89999999999924,182.99999999999983,1.11427,-9.599999999998499,DOWN,1.10667,1.12497,,True
2016-W08,HOTW_Monday,1.1003,1.11244,1.1028,121.4000000000004,212.8000000000019,1.1019,-8.999999999999009,DOWN,1.09116,1.11244,,True
2016-W12,HOTW_Monday,1.12343,1.12847,1.12409,50.400000000001555,140.5000000000012,1.12161,-24.800000000000377,DOWN,1.11442,1.12847,,True
2016-W13,LOTW_Monday,1.11528,1.122,1.11958,67.20000000000059,284.9999999999997,1.12907,94.89999999999998,UP,1.11528,1.14378,True,
2016-W17,LOTW_Monday,1.12177,1.12781,1.12668,60.40000000000045,241.5999999999996,1.12958,29.000000000001247,UP,1.12177,1.14593,True,
2016-W21,HOTW_Monday,1.11875,1.12428,1.12192,55.30000000000035,132.49999999999983,1.11384,-80.80000000000086,DOWN,1.11103,1.12428,,True
2016-W22,LOTW_Monday,1.10977,1.11447,1.11387,47.000000000001485,276.0000000000007,1.11296,-9.099999999999664,DOWN,1.10977,1.13737,False,
2016-W24,HOTW_Monday,1.12321,1.13028,1.129,70.6999999999991,171.9999999999988,1.12068,-83.20000000000105,DOWN,1.11308,1.13028,,True
2016-W26,LOTW_Monday,1.09706,1.10835,1.10223,112.90000000000022,198.8000000000012,1.1062,39.70000000000029,UP,1.09706,1.11694,True,
