week_key,high_day_name,high_dow,low_day_name,low_dow,weekly_range,weekly_return,high_first,low_first,same_day,distance,bullish
2005-W21,Tuesday,1,Thursday,3,132.99999999999866,27.999999999999137,True,False,False,2,True
2005-W22,Monday,0,Wednesday,2,384.9999999999998,-296.99999999999835,True,False,False,2,False
2005-W23,Wednesday,2,Friday,4,245.99999999999955,-111.0000000000011,True,False,False,2,False
2005-W24,Friday,4,Wednesday,2,268.99999999999926,173.9999999999986,False,True,False,2,True
2005-W25,Monday,0,Friday,4,256.0000000000007,-117.00000000000044,True,False,False,4,False
2005-W26,Monday,0,Wednesday,2,168.99999999999915,9.999999999998899,True,False,False,2,True
2005-W27,Thursday,3,Tuesday,1,168.99999999999915,24.000000000001798,False,True,False,2,True
2005-W28,Tuesday,1,Monday,0,299.0000000000004,73.99999999999851,False,True,False,1,True
2005-W29,Thursday,3,Tuesday,1,301.00000000000017,28.999999999999027,False,True,False,2,True
2005-W30,Friday,4,Wednesday,2,193.9999999999986,70.00000000000117,False,True,False,2,True
2005-W31,Thursday,3,Monday,0,282.99999999999994,226.99999999999943,False,True,False,3,True
2005-W32,Friday,4,Monday,0,168.99999999999915,80.00000000000007,False,True,False,4,True
2005-W33,Monday,0,Friday,4,338.9999999999982,-298.0000000000005,True,False,False,4,False
2005-W34,Friday,4,Monday,0,183.99999999999972,118.00000000000033,False,True,False,4,True
2005-W35,Friday,4,Tuesday,1,418.00000000000057,243.99999999999977,False,True,False,3,True
2005-W36,Monday,0,Friday,4,210.99999999999898,-122.99999999999977,True,False,False,4,False
2005-W37,Monday,0,Thursday,3,221.99999999999997,-173.9999999999986,True,False,False,3,False
2005-W38,Thursday,3,Friday,4,228.00000000000153,-128.00000000000145,True,False,False,1,False
2005-W39,Friday,4,Tuesday,1,114.00000000000077,-6.00000000000156,False,True,False,3,False
2005-W40,Thursday,3,Tuesday,1,303.99999999999983,99.0000000000002,False,True,False,2,True
2005-W41,Monday,0,Thursday,3,238.00000000000043,-33.00000000000081,True,False,False,3,False
2005-W42,Monday,0,Wednesday,2,246.99999999999943,-133.99999999999858,True,False,False,2,False
2005-W43,Thursday,3,Monday,0,251.00000000000122,129.00000000000134,False,True,False,3,True
2005-W44,Monday,0,Friday,4,286.0000000000018,-239.0000000000003,True,False,False,4,False
2005-W45,Monday,0,Friday,4,161.00000000000003,-87.99999999999919,True,False,False,4,False
2005-W46,Friday,4,Tuesday,1,155.00000000000068,52.00000000000094,False,True,False,3,True
2005-W47,Wednesday,2,Tuesday,1,180.00000000000017,-47.999999999999154,False,True,False,1,False
2005-W48,Monday,0,Friday,4,240.9999999999979,3.9999999999995595,True,False,False,4,True
2005-W49,Thursday,3,Monday,0,161.00000000000003,111.0000000000011,False,True,False,3,True
2005-W50,Wednesday,2,Monday,0,328.00000000000165,231.0000000000012,False,True,False,2,True
2005-W51,Monday,0,Wednesday,2,238.00000000000043,-151.00000000000114,True,False,False,2,False
2005-W52,Wednesday,2,Wednesday,2,120.00000000000011,3.9999999999995595,False,False,True,0,True
2006-W01,Friday,4,Tuesday,1,366.99999999999955,338.0000000000005,False,True,False,3,True
2006-W02,Thursday,3,Thursday,3,155.99999999999835,-13.000000000000789,False,False,True,0,False
2006-W03,Monday,0,Friday,4,135.00000000000068,-10.000000000001119,True,False,False,4,False
2006-W04,Wednesday,2,Friday,4,238.9999999999981,-40.000000000000036,True,False,False,2,False
2006-W05,Tuesday,1,Friday,4,221.99999999999997,-83.00000000000196,True,False,False,3,False
2006-W06,Monday,0,Friday,4,154.0000000000008,-137.00000000000045,True,False,False,4,False
2006-W07,Wednesday,2,Thursday,3,102.99999999999976,35.00000000000058,True,False,False,1,True
2006-W08,Monday,0,Wednesday,2,112.99999999999866,-58.00000000000027,True,False,False,2,False
2006-W09,Friday,4,Monday,0,225.99999999999955,165.9999999999995,False,True,False,4,True
2006-W10,Monday,0,Friday,4,233.000000000001,-130.00000000000122,True,False,False,4,False
2006-W11,Friday,4,Monday,0,295.0000000000008,273.000000000001,False,True,False,4,True
2006-W12,Monday,0,Friday,4,242.9999999999999,-146.99999999999935,True,False,False,4,False
