week_key,open,high,low,close,range_pips,weekly_range_pips,weekly_return_pips
2008-W51,1.3689,1.4721,1.3631,1.3946,2202.9999999999995,1089.9999999999998,257.00000000000057
2008-W52,1.3947,1.4365,1.3917,1.393,751.9999999999993,448.0000000000017,-17.000000000000348
2009-W01,1.3929,1.4224,1.3548,1.3637,1207.0000000000025,676.000000000001,-292.00000000000114
2009-W02,1.3638,1.3801,1.3292,1.3364,1455.0000000000064,509.00000000000165,-273.9999999999987
2009-W03,1.336,1.3388,1.3028,1.3069,1248.0000000000002,360.00000000000034,-291.00000000000125
2009-W04,1.307,1.3209,1.2766,1.3191,1301.000000000001,443.00000000000006,121.0
2009-W05,1.319,1.3331,1.2708,1.2845,1069.0,623.0000000000002,-344.9999999999998
2009-W06,1.2846,1.3095,1.2749,1.3005,1124.0000000000005,346.0000000000019,159.00000000000026
2009-W07,1.3006,1.3076,1.2724,1.2804,870.0000000000018,352.0000000000012,-201.99999999999994
2009-W08,1.2804,1.2993,1.2515,1.2695,1228.999999999998,477.9999999999984,-108.99999999999909
2009-W09,1.2696,1.2901,1.2547,1.2579,790.9999999999994,354.00000000000097,-117.00000000000044
2009-W10,1.2578,1.2756,1.2458,1.2613,937.9999999999989,298.0000000000005,35.00000000000058
2009-W11,1.2614,1.3073,1.2581,1.297,1033.9999999999973,491.9999999999991,355.9999999999985
2009-W12,1.2969,1.374,1.2933,1.3635,1395.0000000000018,807.0000000000022,665.9999999999999
2009-W13,1.3635,1.368,1.3115,1.3201,1132.9999999999995,565.0,-433.9999999999988
2009-W14,1.32,1.3584,1.3168,1.3418,937.9999999999989,416.0000000000008,218.00000000000043
2009-W15,1.3418,1.3421,1.3092,1.337,931.0000000000018,329.00000000000153,-48.00000000000138
2009-W16,1.3369,1.3383,1.289,1.2922,805.0000000000024,493.0000000000012,-446.9999999999996
2009-W17,1.2922,1.3303,1.2887,1.304,869.9999999999997,416.0000000000008,118.00000000000033
2009-W18,1.3041,1.3427,1.2967,1.3408,939.0000000000009,460.0000000000004,366.99999999999955
2009-W19,1.3408,1.3671,1.3248,1.3584,922.9999999999983,423.00000000000006,176.0000000000006
2009-W20,1.3583,1.3724,1.3426,1.3563,768.9999999999997,298.0000000000005,-20.000000000000018
2009-W21,1.3564,1.4053,1.3532,1.4017,830.0000000000018,521.0000000000003,452.999999999999
2009-W22,1.4016,1.4246,1.3793,1.4159,921.000000000003,453.0000000000012,142.9999999999998
2009-W23,1.416,1.4338,1.3805,1.3899,1160.9999999999986,532.999999999999,-261.0000000000001
2009-W24,1.3899,1.4178,1.3756,1.3803,1151.9999999999998,422.00000000000017,-95.99999999999831
2009-W25,1.3803,1.4012,1.3748,1.3866,751.999999999997,263.9999999999998,62.99999999999972
2009-W26,1.3865,1.4138,1.3829,1.4081,906.9999999999978,308.99999999999926,215.9999999999984
2009-W27,1.4082,1.4201,1.3876,1.3984,739.0000000000008,324.9999999999997,-97.9999999999981
2009-W28,1.3983,1.407,1.3833,1.3977,718.0000000000009,237.00000000000054,-6.00000000000156
2009-W29,1.3978,1.4249,1.3911,1.423,626.000000000002,338.0000000000005,252.0000000000011
2009-W30,1.423,1.4298,1.4119,1.423,632.0000000000015,179.00000000000028,0.0
2009-W31,1.4229,1.4445,1.4007,1.4412,899.9999999999941,437.9999999999984,182.99999999999983
2009-W32,1.4413,1.4447,1.4105,1.4139,627.9999999999997,342.00000000000006,-274.0000000000009
2009-W33,1.414,1.4327,1.4045,1.4082,677.0000000000032,282.0,-58.00000000000027
2009-W34,1.4081,1.4374,1.4066,1.4302,585.9999999999999,307.9999999999994,221.00000000000009
2009-W35,1.4302,1.4406,1.4207,1.4331,661.0000000000027,199.00000000000028,29.000000000001247
2009-W36,1.4331,1.4377,1.4176,1.4332,613.0000000000014,201.00000000000006,0.9999999999998899
2009-W37,1.4331,1.4652,1.4328,1.4617,669.9999999999995,323.99999999999983,285.9999999999996
2009-W38,1.4617,1.4766,1.4561,1.4678,491.0000000000014,204.99999999999963,60.99999999999994
2009-W39,1.468,1.4842,1.4564,1.4621,704.9999999999957,278.00000000000045,-59.00000000000016
2009-W40,1.4622,1.4673,1.448,1.4647,620.999999999996,193.00000000000094,24.999999999999467
2009-W41,1.4646,1.4816,1.4645,1.4773,592.0000000000014,171.00000000000114,127.00000000000156
2009-W42,1.4772,1.4966,1.4761,1.4964,595.9999999999987,204.99999999999963,191.99999999999883
2009-W43,1.4962,1.5063,1.4845,1.4876,650.0000000000039,218.00000000000043,-85.9999999999994
2009-W44,1.4875,1.4927,1.4683,1.4775,797.9999999999986,243.99999999999977,-100.00000000000009
2009-W45,1.4776,1.502,1.4626,1.4999,766.9999999999999,394.000000000001,222.99999999999986
2009-W46,1.4998,1.5049,1.4821,1.497,624.0000000000001,227.99999999999932,-27.999999999999137
2009-W47,1.497,1.4999,1.4801,1.496,724.0000000000024,198.0000000000004,-10.000000000001119
2009-W48,1.4961,1.5144,1.4829,1.5004,783.9999999999981,314.99999999999864,42.9999999999997
2009-W49,1.5005,1.5141,1.4756,1.4827,738.9999999999964,384.9999999999998,-178.00000000000037
2009-W50,1.4825,1.4867,1.4586,1.4656,652.9999999999991,281.0000000000001,-168.99999999999915
2009-W51,1.4657,1.4663,1.4261,1.4276,734.0000000000035,402.0000000000001,-381.0000000000002
2009-W52,1.4277,1.4418,1.4217,1.4379,440.0000000000026,201.00000000000006,101.99999999999987
2009-W53,1.4378,1.4458,1.4257,1.4413,547.9999999999974,201.00000000000006,35.00000000000058
2010-W01,1.4412,1.4556,1.4263,1.4512,761.0000000000006,293.000000000001,100.00000000000009
2010-W02,1.4512,1.4579,1.4335,1.4383,564.9999999999977,243.99999999999977,-129.00000000000134
2010-W03,1.4384,1.4414,1.403,1.4151,671.999999999997,383.9999999999999,-232.99999999999875
2010-W04,1.415,1.4179,1.3852,1.3931,563.0000000000001,326.9999999999995,-219.0000000000003
2010-W05,1.3932,1.4025,1.3585,1.3648,659.9999999999984,440.0000000000004,-283.99999999999983
2010-W06,1.3649,1.3839,1.3531,1.3598,755.9999999999989,307.9999999999994,-51.000000000001044
2010-W07,1.3598,1.3788,1.3442,1.3594,793.9999999999969,345.99999999999966,-3.9999999999995595
2010-W08,1.3595,1.3691,1.345,1.3559,785.0000000000001,241.0000000000001,-35.99999999999825
2010-W09,1.356,1.3735,1.3436,1.3632,688.0000000000019,299.0000000000004,71.99999999999874
2010-W10,1.3633,1.3795,1.3536,1.3675,563.9999999999978,259.00000000000034,41.999999999999815
2010-W11,1.3675,1.3817,1.3462,1.3556,603.0000000000002,354.99999999999864,-119.00000000000021
2010-W12,1.3556,1.3568,1.3266,1.3481,653.0000000000014,302.00000000000006,-74.99999999999841
2010-W13,1.348,1.359,1.3383,1.3483,630.999999999997,206.9999999999994,2.9999999999996696
2010-W14,1.3482,1.3691,1.3281,1.359,589.9999999999994,409.99999999999926,107.9999999999992
2010-W15,1.3591,1.3678,1.3415,1.3488,507.99999999999955,262.9999999999999,-102.99999999999976
2010-W16,1.3487,1.3521,1.3201,1.338,649.9999999999994,320.0000000000003,-106.99999999999932
2010-W17,1.338,1.3415,1.3113,1.3193,821.0000000000028,302.00000000000006,-187.00000000000162
2010-W18,1.3192,1.3213,1.2518,1.2786,1309.0000000000002,694.999999999999,-405.9999999999997
2010-W19,1.2785,1.2802,1.2233,1.2393,847.9999999999999,568.9999999999995,-391.99999999999903
2010-W20,1.2394,1.2671,1.2143,1.2371,1299.9999999999989,527.9999999999995,-22.999999999999687
