week_key,open,high,low,close,weekly_range_pips,weekly_return_pips
2017-W36,1.18798,1.2092,1.18681,1.20333,223.9000000000013,153.49999999999974
2017-W37,1.20164,1.20294,1.18379,1.19427,191.5,-73.70000000000098
2017-W38,1.19194,1.20329,1.18612,1.19466,171.69999999999908,27.200000000000557
2017-W39,1.1897,1.19364,1.1717,1.18121,219.40000000000072,-84.89999999999887
2017-W40,1.17903,1.18147,1.16691,1.17281,145.60000000000127,-62.20000000000114
2017-W41,1.17271,1.18796,1.17195,1.18189,160.09999999999857,91.80000000000189
2017-W42,1.18101,1.18579,1.17301,1.17837,127.79999999999791,-26.399999999999757
2017-W43,1.17622,1.18366,1.15743,1.16059,262.2999999999997,-156.30000000000032
2017-W44,1.16071,1.16902,1.15937,1.16055,96.49999999999936,-1.5999999999993797
2017-W45,1.16134,1.16777,1.15541,1.16624,123.59999999999927,48.99999999999905
2017-W46,1.16559,1.18606,1.16373,1.17895,223.2999999999996,133.6000000000004
2017-W47,1.17852,1.19441,1.1713,1.19304,231.09999999999962,145.2000000000009
2017-W48,1.19244,1.19611,1.18088,1.1894,152.30000000000078,-30.399999999999316
2017-W49,1.18604,1.18785,1.173,1.17705,148.50000000000028,-89.90000000000053
2017-W50,1.17635,1.18624,1.17175,1.1747,144.89999999999893,-16.499999999999293
2017-W51,1.17418,1.19017,1.17371,1.18597,164.5999999999992,117.89999999999966
2017-W52,1.18678,1.20255,1.18464,1.20005,179.10000000000093,132.70000000000115
2018-W01,1.20037,1.20889,1.20013,1.20297,87.60000000000102,26.000000000001577
2018-W02,1.2026,1.22186,1.19156,1.22,302.99999999999994,174.00000000000082
2018-W03,1.21923,1.2323,1.21645,1.22173,158.4999999999992,24.999999999999467
2018-W04,1.22683,1.25375,1.22138,1.24245,323.7000000000001,156.19999999999968
2018-W05,1.24256,1.25225,1.23352,1.24543,187.30000000000135,28.69999999999928
2018-W06,1.24349,1.24747,1.22055,1.22492,269.20000000000056,-185.69999999999976
2018-W07,1.22479,1.2555,1.22349,1.24029,320.10000000000093,154.99999999999847
2018-W08,1.24013,1.2435,1.22597,1.22928,175.30000000000047,-108.50000000000026
